campus_label,asset_tag,serial_number,make,model,building,location_in_building,ip_address,mac_address,comments
FmLxOs2,A08918,451444HH1B5WC,Lexmark,M3150,Facilities,Store Room,10.40.111.254,00:21:b7:21:e3:ea,
FmLxT1,A08916,451444HH1B5X2,Lexmark,M3150,Facilities,Small Projects,10.40.111.252,00:21:b7:21:e4:bc,
FA0102,KY4585,CZBJ44747,Toshiba,e-Studio 3518A,Fairchild,Work Colleges,10.40.112.241,00:80:91:ce:2d:45,
LatLx1,KY4625,,Unknown,Unknown,Fairchild,Room 10,10.40.112.248,00:21:b7:cf:42:2f,091224 GN Not on Network
LslLxT2,A8931,451444HH1B5YG,Lexmark,M3150,Fairchild,Labor & Student Life rm4/5,10.40.112.244,00:21:b7:21:e3:fe,
WccLxC1,KY4627,5028840F394C,Lexmark,C4150,Fairchild,Work Colleges,10.40.112.245,00:21:b7:8b:05:b7,
UNKNOWN-LABEL,A05434,,Unknown,TS654DN,Fairchild,Unknown,,00:00:00:00:00:00,2024-10-03 _ Kelly Fox | Do not know location of device | Was in Hafer Gibson | Was a MICR Printer | off the contract GN 012824
FA0001,KY4627,CZBJ44730,Toshiba,e-Studio 3518A,Fairchild,Fairchild Hall Bsmt,10.40.112.252,00:00:00:00:00:00,"11/05/24 - Replaced the hard drive, Randy from Toshiba replaced it and pulled the image down"
FA0101,KY4590,CZBJ44755,Toshiba,e-Studio 3518A,Fairchild,Counseling Service,10.40.112.254,00:80:91:ce:3d:5f,
BC Horse Farm,KY4643,7018916304XLB,Lexmark,XM3250,Farm House,Farm House Break Room,,00:21:b7:3f:83:19,07/30/2025 ZS: Moved to farm house since their printer died | - Phil Vogel is point of contact for service at this time | .....Phil's sell is: 859.684.9385 | - Device is not on BC Campus network | - Farmhouse runs its own pay for service network over Spectrum | - EJ emailed Toshiba RE location update and remove from FMAudit and go to manual meter reads
Forestry,A3439,,Unknown,Unknown,Forestry,Forestry,192.168.1.253,00:00:00:00:00:00,091224 GN Not on Network
FR0101,KY4586,CZBJ44749,Toshiba,e-Studio 3518A,Frost,Frost RM105,10.40.113.248,00:80:91:ce:3d:4c,090425 - Toshiba PaperCut Supplort - fixed user name and password missmatch; resolved via top access and papercut
Frost-RM204-MFP,KY4587,CZBJ44733,Toshiba,e-Studio 3518A,Frost,"RM204, Sociology Work Room",,00:80:91:ce:3d:88,2024-08-20 _ | GN Installed | EJ Updated BC-Print-01 | RP reserved Static IP as DHCP Issued and we put device on Dynamic Mode for IPV4 | 2024-08-20 _ GN put new Queue label copier
FbLxOs1,A08929,451444HH1B5XW,Lexmark,M3150,Frost,Floor 1 Room 104,10.40.113.251,00:21:b7:21:e4:b2,
PscLxOt1,"Johnna reports Toshiba Asset# is A05796 NOT
KY4623",460085110KXMB,Lexmark,M3250,Frost,Floor 1 Room 107,10.40.123.254,00:21:b7:7c:f3:98,GN 2024-03-10 Toshiba Reports not on contract | - needs a PC Kit
SocLxOs1,UNKNOWN-ASSET,451444HH1B5Z2,Lexmark,M3150,Frost,Floor 2 Room 217,10.40.113.252,00:21:b7:21:53:ab,
SocLxOt2,A08928,,Unknown,Unknown,Frost,Floor 2 Room 213,10.40.113.254,00:21:b7:64:f1:35,091224 GN Not on Network
AG0201,KY4570,CZDJ49156,Toshiba,e-Studio 3518A,Goldthwaite Agriculture,Agriculture,10.40.100.254,00:80:91:ce:98:d5,
AgLxT1,KY4632,46008910K4F1,Lexmark,M3250,Goldthwaite Agriculture,Unknown,10.40.100.252,00:21:b7:4f:a3:a6,
HA0101,KY4764,CZEJ55993,Toshiba,e-STUDIO3518A,Haaga,Admissions,10.40.114.251,00:80:91:78:24:77,082725 - incorrectly assigned A3417 corrected to KY4764 | '082425 - EJ puts in service call for Debora
Haaga-RM101-HP,JPBCT2W1DF,JPBCT2W1DF,HP,HP M611 Enterprise,Haaga House,Room 101,,24:fb:e3:0e:e7:b3,
Haaga-RM208-HP,PHBCT2S1FS,PHBCT2S1FS,HP,HP M611 Enterprise,Haaga House,Student Workspace RM 208,,24:fb:e3:0d:76:04,"This was originally ordered to replace a water damaged MICR HP 611DN in Student Labor. When scheduling install Kelly Fox said the damaged HP 611 was working fine, and they didn't want the replacement. We could not return the item so kept it in inventory and deployed to Admission. See Below. | 03-2025 - ordered to replace EOL Lexmark that broke down. This was an emergency replacement for Admission as this is a mission critical printer for Recruitment Ops"
Hafer-RM107-LX,A8909,,Unknown,Unknown,Hafer Gibson,RM 107,10.40.101.253,00:21:b7:c1:78:7b,091224 GN Not on Network
Hafer-Gibson-RM101B-LX,KY4637,460084910K4GL,Lexmark,M3250,Hafer-Gibson,RM101B,,00:21:b7:4f:53:f4,10/24/2024 | Installed to Hafer-Gibson | 7/29/2025 ZS: Found in pile of printers
HG0101,KY4659,CNCJ38162,Unknown,e-Studio 3518A,Hafer-Gibson,Lobby,10.40.123.246,00:80:91:ce:6e:be,
ConLxOt1,UNKNOWN-ASSET,,Unknown,Unknown,Haffer-Gibson,Conference Services,10.40.123.248,00:00:00:00:00:00,091224 GN Not on Network
Hafer-HR-MFP,KY4583,CZDJ49528,Toshiba,e-Studio 3518A,Haffer-Gibson,HR Common Area (Break Area),,00:80:91:78:48:96,2024-08-03 _ Hafer-Gibson | pulled IPV4 10.40.123.14 | CZDJ49258 | MAC Address	00:80:91:ce:98:d3 | 2024-08-05 _ sent Ray P IP reservation request | 2024-08-05 _ removed ED0102 from BC-Print-01 | 2024-08-05 _ added to paperCut
HrLxT1,A13004,4600824007CNV,Lexmark,M3150,Haffer-Gibson,Human Resources,10.40.123.254,00:21:b7:57:e9:09,
HrLxT2,A08971,451444HH1B619,Lexmark,M3150,Haffer-Gibson,Human Resources,10.40.123.253,00:21:b7:21:53:98,
PsPayT1,A04677,793MPFM,Lexmark,T652,Haffer-Gibson,Human Resources,10.40.123.252,00:21:b7:f0:f9:7b,
Cash Station  (LIB),UNKNOWN-ASSET,,Unknown,Unknown,Hutchins Library,Circulation Desk,10.40.117.239,00:00:00:00:00:00,091224 GN Not on Network
HL0001,KY4608,CZCJ44778,Toshiba,e-Studio 3518A,Hutchins Library,Library Public - Basement,10.40.117.249,00:80:91:ce:3d:11,2024-08-28 _ | Report device is not printing | EJ reboot remote | Print Queue was clear | Asked Ray to reserve IP to prep for switch
HL0002,KY4610,CZDJ49141,Toshiba,e-Studio 3518A,Hutchins Library,Library Special Collections,10.40.117.21,00:00:00:00:00:00,2024-09-17 _
HL0003,KY4609,CZDJ49248,Toshiba,e-Studio 3518A,Hutchins Library,Library Tech Svcs,10.40.117.254,00:00:00:00:00:00,092424 GN Not on Network
HL0004,KY4672,CNCJ38177,Toshiba,eStudio 3515ac,Hutchins Library,Writing Center,10.40.117.85,00:00:00:00:00:00,
HL0101,KY4657,CNCJ38068,Toshiba,e-Studio 3515AC,Hutchins Library,Library Main Floor,10.40.117.252,00:80:91:ce:54:4d,
HL0102,KY4611,CZDJ49293,Toshiba,e-Studio 3518A,Hutchins Library,Library Main Lobby,10.40.117.251,00:80:91:ce:b7:e5,"2024-11-01 Anthony asks to clear queue. No bad jobs on the copier itself, print server queue seems normal. Did remote reboot. | 2024-09-24 _ Haze Clark requests queue cleared out"
HL0103,KY4621,CZDJ49247,Toshiba,e-Studio 3518A,Hutchins Library,Library Lobby,10.40.117.250,00:80:91:ce:98:75,
ST0102,KY4602,CZDJ49227,Toshiba,e-Studio 3518A,Hutchins Library,SST Suite RM256 in main SST Hallway,10.40.105.244,00:80:91:ce:98:5f,051525 - service request
AcaDeM1,A07312,451431HH09HWC,Lexmark,M1145,Hutchins Library Annex,248,,00:21:b7:d6:5d:3b,EJ Updated Print Queue with new port | 10.40.117.102
CMIT_FL1,KY4579,CZDJ49529,Toshiba,e-Studio 3518A,IS & S,IS&S,,00:80:91:ce:98:7d,[TTD] Needs new device label
IssDeM3,A08956,,Unknown,Unknown,IS & S,Back Offices Hallway,10.40.48.252/ USB printer,00:00:00:00:00:00,091224 GN Not on Network
IssLx6,UNKNOWN-ASSET,460084910K4GT,Unknown,Unknown,IS & S,IS&S,10.40.107.248,00:21:b7:4f:53:f8,091224 GN Not on Network
JD0101,KY4596,CZBJ44760,Toshiba,e-Studio 3518A,Jekyll,Jekyll,10.40.118.254,00:80:91:ce:3d:a3,
TheLxOs1,KY3607,,Unknown,Unknown,Jekyll,Jekyll,10.40.118.252,00:00:00:00:00:00,091224 Gn Not on Network
KN0202,KY4650,CNCJ38199,Toshiba,e-Studio 3515AC,Knapp Hall,Unknown,10.40.119.28,00:80:91:ce:7b:8c,
LibAcqLxOt6,A08966,451444HH1B60W,Lexmark,M3150,Library,Ground Floor Room 105,10.40.117.244,00:21:b7:21:e3:0b,
LibCirLxOt5,A08927,451444HH1B5YM,Lexmark,M3150,Library,Circulation Desl,10.40.117.245,00:21:b7:21:53:fd,
LibScaLxOt9,A08926,,Unknown,Unknown,Library,Special Collection,10.40.117.246,00:21:b7:21:e3:4e,091224 GN Not on Network
FinLXos5P,PHBCSB10WD,PHBCSB10WD,Troy HP M611 E,M611,Lincoln,Basement Room 010,10.40.120.239,24:6a:0e:b6:fa:0c,"Cheryl Hinkle MICR | 052025 - EJ asked Cheryl when she will start using the new MICR printer. She asked me to leave the old one there, and to date, she has not switched over to the Troy. | Set up via Check printing system, using the existing Lexmark MICR printer IP and print driver from Lexmark on the server side."
AcaLxC2,KY4619,50288440F3944,Unknown,Unknown,Lincoln Hall,Unknown,10.40.120.223,00:21:b7:81:2e:3a,091224 GN Not on Network
AcaLxE1,A3541,,Unknown,Unknown,Lincoln Hall,Floor 1 Room 113,10.40.120.250,00:21:b7:21:e3:37,091224 GN Not on Network
ArcLx1,A08934,451443HH16VMG,Lexmark,M3150,Lincoln Hall,Title 9 Basement Office RM0006B,10.40.120.222,00:21:b7:c1:04:7f,
BusLxC1,A10442,9446VR8,Lexmark,C736,Lincoln Hall,RM232,10.40.120.251,00:21:b7:01:45:b7,Replacement Device is : C2335 for C736 | 2024-08-16 _ | Judge Wilson Printing | • un-installed printer | • Install as Line Printer (LPR) | • Use Generic PCL Driver
FinDeM1,A08631,06336990CF0Z,Lexmark,M5155,Lincoln Hall,Floor 2 Room 220,10.40.120.241,00:21:b7:ae:b3:6c,
FinLxE1,KY4638,460084910K4GN,Lexmark,M3250,Lincoln Hall,Floor 2 Room 223,10.40.120.248,00:21:b7:4f:53:bc,"2024-11-3 | Steve A | Somehow device was on DHCP so pulled an IP that broke printing. Steve set it back to STATIC with the IP listed here, and I asked Ray P to re-reserve the IP with MAC | Called Ray - he said 3rd octet is the zone, and we don't have one set up yet for printing, will come mid 2025. He said first two octets are Admin, or Residence, etc, 3rd is for type (all security cameras, FM controls, etc) this way they can 'read' the  IP and see if it is a copier, camera, etc., that is the issue. We can switch devices to DHCP as we work on them, etc., but in the mean-time not actively changing devices over is the plan."
FinLxT1,A08559,4063369908LH5,Lexmark,M5155,Lincoln Hall,Basement Room 020,10.40.120.242,00:21:b7:f6:6a:5d,
FinLxT2,A10289,451445HH1VHPX,Lexmark,M3150,Lincoln Hall,Auditors Office,10.40.120.221,00:21:b7:f1:d7:9c,
GstLxOt1,KY4636,46008910K4GD,Lexmark,M3250,Lincoln Hall,Floor 3 Room 320,10.40.120.246,00:21:b7:4f:a3:29,
LfaLxOt1,KY4633,460084910K4GK,Unknown,Unknown,Lincoln Hall,Floor 1 Room 120,10.40.120.252,00:21:b7:18:6e:de,091324 GN Not on Network
LfaLxT1,A08937,451443HH16VC2,Lexmark,M3150,Lincoln Hall,Basement Room 020,10.40.120.240,00:21:b7:c1:f8:66,061625 _ Toshiba replaces imaging unit
LI0001,KY4604,CZBJ44757,Toshiba,e-Studio 3518A,Lincoln Hall,Lincoln Basement 010,10.40.120.254,00:80:91:ce:3d:a7,
LI0101,KY4603,CZDJ49150,Toshiba,e-Studio 3518A,Lincoln Hall,Financial Aid,10.40.120.229,00:80:91:ce:98:99,dr
LI0102,KY4607,CZCJ44795,Toshiba,e-Studio 3518A,Lincoln Hall,Academic Services,10.40.120.238,00:80:91:ce:3d:81,
LI0201,KY4600,CZDJ49260,Toshiba,e-Studio 3518A,Lincoln Hall,Room 220,10.40.120.236,00:80:91:ce:98:8b,"Hannah Shepherd / Allane Poff | 061125 - EJJ - Hi Cap tray broken, bad gear sound when elevating. TR1 LT works. put in service call. Told Hannah and Allane about situation. | 06/11/25 - TopAccess - Administration - Copier - Copy Job Enforcement Continue - EJ turned 'Automatic Change Of Paper Source' to ON | as Allane Poff said device has paper but jobs will not print."
LI0202,KY4673,CNCJ46173,Toshiba,e-Studio 3515AC,Lincoln Hall,Lincoln 2nd (Presidents),10.40.120.249,00:80:91:cf:01:49,"y, already was able to, is in presidents office"
LI0301,KY4671,CNCJ40224,Toshiba,e-Studio 3515AC,Lincoln Hall,Lincoln 3rd,10.40.120.233,00:80:91:ce:72:d5,
LI0302,KY4601,CZCJ48115,Toshiba,e-Studio 3518A,Lincoln Hall,Room 320,10.40.120.231,00:80:91:ce:9f:3b,10/22/2024 - EJ Cleared Queue & Reboot
Lincoln-RM310,KY4620,50288440F394G,Lexmark,C4150,Lincoln Hall,RM310 STE,net://10.40.120.88,00:21:b7:4f:94:c2,
PreLxT4,A10204,406347990KNF7,Lexmark,M5155,Lincoln Hall,Floor 2 President's Office,10.40.120.225,00:21:b7:be:77:3c,
ProLxOt1,KY4622,460085110KZL1,Lexmark,M3250,Lincoln Hall,Floor 3 Room 330,10.40.120.247,00:21:b7:cf:52:08,
PsPayT3,A05865,794T721,Lexmark,TS654dn,Lincoln Hall,Basement Room 010,10.40.120.239,00:21:b7:9c:9c:6f,"MICR | Cheryl Hinkle | 2024-09-24 _ Service call; machine is dirty with toner and poor print quality, Cheryl is having to re-print the checks due to poor quality"
RegDeM1,A08938,451443HH16VFY,Lexmark,M3150,Lincoln Hall,Floor 1 Student Services Center,10.40.120.224,00:21:b7:c1:f8:11,
RegLxOs3,KY4628,460084910K4G3,Lexmark,M3250,Lincoln Hall,Floor 1 Student Services Center,10.40.120.226,00:21:b7:4f:a3:69,
SasLxT1,KY4629,460085110KZMZ,Lexmark,M3250,Lincoln Hall,Floor 1 Student Services Center,10.40.120.227,00:21:b7:cf:83:31,
BioLxOt2,A08945,451444HH1B5ZF,Lexmark,M3150,MAC,RM121,10.40.141.195,00:21:b7:21:e3:0d,
CreLXCO1,KY4626,5028844DF393Z,Lexmark,C4150,MAC,Development,10.40.140.30,00:21:b7:8f:6f:9f,
MatLx1,A10105,451443HH16VHN,Lexmark,M3150,MAC,RM230,10.40.141.192,00:21:b7:c1:b8:11,
MC0101,KY4599,CZDJ49251,Toshiba,e-Studio 3518A,MAC,1st Floor,10.40.141.181,00:80:91:ce:98:bb,
MC0201,KY4606,CZCJ44776,Toshbia,e-Studio 3518A,MAC,2nd Floor,10.40.141.183,00:80:91:ce:3d:7a,11/5/2024- cleared queue
MC0401,KY4605,CZCJ44799,Toshiba,e-Studio 3518A,MAC,4th Floor,10.40.141.189,00:80:91:ce:3d:0e,2024-11-20 - Randy Toshiba replaced hard drive
McsLxT3,A08921,451444HH1B5WN,Lexmark,M3150,MAC,RM221,10.40.141.191,00:21:b7:21:e4:d2,
SbLxT1,A08947,451444HH1B5ZY,Lexmark,M3150,MAC,RM216 (Justin's room),10.40.141.194,00:21:b7:21:e3:15,
MC0202,KY4663,CNCJ40231,Toshiba,e-Studio 3515AC,MACX,2nd Floor,10.40.141.185,00:80:91:ce:72:7f,
MC0301,KY4665,CNCJ38065,Toshiba,e-Studio 3515AC,MACX,3rd Floor,10.40.141.187,00:80:91:ce:6e:2c,
MS0101,KY4662,CNCJ38198,Toshiba,e-Studio 3515AC,Middletown,Middletown,10.40.122.252,00:00:00:00:00:00,091324 GN Not on Network
MS0102,KY4666,CNCJ30061,Toshiba,e-Studio 3515AC,Middletown,Middletown,10.40.122.253,00:00:00:00:00:00,091324 GN Not on Network
MS0103,KY4664,CNCJ40107,Toshiba,e-Studio 3515AC,Middletown,Middletown,10.40.122.225,00:00:00:00:00:00,091324 GN Not on Network
PfeLx1,UNKNOWN-ASSET,,Unknown,Unknown,Middletown School,1st Floor,10.40.122.247,00:21:b7:21:e3:f5,091324 GN Not on Network
PfeLx2,KY4621,460085110KZMY,Unknown,Unknown,Middletown School,Basement,10.40.122.248,00:21:b7:d4:bf:a9,091324 GN Not on Network
PfeLx3,UNKNOWN-ASSET,,Unknown,Unknown,Middletown School,Unknown,10.40.122.249,00:21:b7:21:e3:95,091324 GN Not on Network
SpLxT1,KY4624,460085110KZT7,Unknown,Unknown,Middletown School,Unknown,10.40.122.254,00:21:b7:5c:27:1f,091324 GN Not on Network
MU0101,KY4616,CZDJ49283,Toshiba,e-Studio 3518A,Mueller Student Crafts,Student Crafts,10.40.133.254,00:80:91:ce:98:91,031125 - database corrupted
UNKNOWN-LABEL,KY4742,,Toshiba,Unknown,"Partners for Rural Impact
Pikeville Office
95 Douglas PKWY
Pikeville KY 41501",Unknown,,00:00:00:00:00:00,"2024-09-24 _ Move Request | Johnene Ison | Project Director, Gear Up East KY | Johnene.Ison@partnersrural.org | 606-471-9382 | Office hours: M-F  7:30-4:00"
Phelps-200-LX-C,A12990,,Unknown,Unknown,Phelps Stokes,FL2 Common A,10.40.109.234,00:21:b7:27:4c:af,091324 GN Not on Network
Phelps-200-LX-M,KY4640,460084910K4GP,Unknown,Unknown,Phelps Stokes,FL2 Common B,10.40.109.248,00:21:b7:4f:53:02,091324 GN Not on Network
Uknown,KY4641,"S7018916304XBD

[confirmed by Toshiba 021825]",Lexmark,M3250,Phelps-Stokes,Unknown,,00:00:00:00:00:00,"021825 - Per Toshiba: | - KY4641 shows LEXMARK XM3250, SN# S7018916304XBD, ship to 221 N MAIN STREET/STEPHENS HALL 1ST FLOOR/BEREA, KY  40404-0001, location WOODS PENN INTERNATIONAL CENTER. | [TTD] - find this device"
MusDem2,A8923,451444HH1B5YX,Lexmark,M3150,Presser Hall,Room 306,10.40.128.250,00:21:b7:21:53:4b,2024-08-21 _ need to confirm the toshiba number on this device
PR0101,KY4597,CZBJ44748,Toshbia,e-Studio 3518A,Presser Hall,Presser Hall 2nd floor hallway,10.40.128.253,00:80:91:ce:3d:4d,
PR0102,KY4670,CNCJ38197,Toshiba,e-Studio 3515AC,Presser Hall,RM306,10.40.128.254,00:80:91:ce:55:7a,
PrXePh1,A07194,,Unknown,Unknown,Public Relations,Floor 1 Hallway,10.40.104.252,00:21:b7:96:99:84,091324 GN Not on Network
VC0101,KY4668,CNCJ38092,Toshiba,e-Studio 3515AC,Public Relations,Public Relations,10.40.104.254,00:80:91:ce:55:75,y
RH0101,KY4595,CZDJ49257,Toshiba,e-Studio 3518A,Ray House,Grow App.,10.40.62.253,00:00:00:00:00:00,converted to papercut 040825 GN
AR0101,KY4572,CZDJ49243,Toshiba,e-Studio 3518A,Rogers Taylor Art,Art   Traylor,10.40.121.250,00:80:91:ce:99:09,
AR0102,KY4655,CNCJ38064,Toshiba,e-Studio 3515AC,Rogers Taylor Art,Art Office,10.40.125.254,00:00:00:00:00:00,091324 GN Not on Network
SE0202,KY4591,CZBJ44731,Toshiba,e-Studio 3518A,Seabury,FL2 RM Coaches Suite Commons,,00:80:91:ce:3d:24,"072325 - ET deployed to Seabury from Storage | Device History | Pevious deployment: ED0101, Stephenson_storage | OLD IP: 10.40.109.243 | deleted ED0101 print queue on bc-print-01"
PebLxOt1,A08942,451444HH1B607,Lexmark,M3150,Seabury Center,Floor 2 Office,10.40.131.250,00:21:b7:c1:77:92,
PehLxOt1,A08940,,Unknown,Unknown,Seabury Center,Floor 2 Breakroom,10.40.131.253,00:21:b7:c1:77:aa,091324 GN Not on Network
PenLxOt1,A08941,451444HH1B5ZG,Lexmark,M3150,Seabury Center,Equipment Checkout,10.40.131.252,00:21:b7:21:64:51,
UNKNOWN-LABEL,A05360,72HLZZC,Lexmark,E460dn,Seabury Center,Floor 3,10.40.131.254,00:21:b7:ec:7e:79,This should have been retired | We may have the FL assignmeng wrong
SE0101,KY4674,CNCJ34876,Toshiba,e-studio 3515AC,Seabury Center,Coaches STE FL1,10.40.131.80,00:80:91:ce:3e:70,
SE0201,KY4953,CZCJ44802,Toshiba,e-Studio 3518A,Seabury Center,RM213,10.40.131.251,00:80:91:ce:3d:97,
SeLxT1,A03057 / KY3057,45146PHH324L5,Lexmark,M1145,Seabury Center,Trustree Room,10.40.131.248,00:21:b7:cd:11:07,
ScLxOt1,A08935,,Lexmark,M3150,Seabury Gym,2nd Floor Coaches Suite,,00:00:00:00:00:00,"10/24/24 | Moved to Storage | Was installed into Hafer RM101B but did not work 01/09/25 installed in Seabury, it works | 013025 - Confirmed IP Address from Device. Koty says not printing. EJ reviewed que and IP address was wrong. Confirmed IP at device and set as new port and all users are now printing"
IssLxOt5,A05371,72HMMKW,Lexmark,ES460dn,Stephenson,Stephenson Storage,,00:00:00:00:00:00,022425 GN moved into storage
